451.123,ast_cnt,repeat_string,date,total_pop,filename,name,451.353,590,451.2,6-501.12,451.13,500,451.404,480,6-501.14,451.126,205,4-501.11,3-302.11,451,6-501.16,451.321,451.14,451.35,451.103,451.104,451.344,5-205.15,4-903.11,451.117,5-202.12,6-501.11,7-206.12,520,451.36,3-501.16,6-202.15,6-501.111,3-305.11,3-701.11,3-304.12,6-404.11,5-203.14,4-602.12,4-601.11,2-401.11,4-204.112,5-205.11,205.103,4-901.11,451.11,480.425,4-502.13,590.009,6-501.114,6-201.11,4-501.114,6-201.16,451.121,451.124,480.5,451.000.,451.34,520.119,451.322,451.141,5-202.13,451.32,451.341,451.102,451.101,4-602.11,4-501.15,6-301.12,6-403.11,451.114,4-204.115,451.351,4-302.14,4-501.112,5-501.114,6-101.11,3-302.12,4-101.16,7-101.11,6-301.11,451.109,6-301.20,5-501.16,4-502.11,6-202.11,4-903.12,2-402.11,3-305.12,2022,2017,451.331,3-304.14,590.003,1,5-501.110,451.346,7-102.11,4-602.13,480.4,451.37,451.38,451.33,451.383,5-501.113,451.345,5-501.115,6-501.112,4-701.10,451.111,3-501.15,3-202.15,451.371,451.153,451.125,4-102.11,451.113,451.374,4-904.11,6.5,6-301.14,3.5,4-202.11,451.343,480.1,590.011,2-301.14,3-501.18,6-305.11,4-202.16,5-501.116,109,4-201.11,451.119,451.122,451.12,4-501.116,11,451.128,5-250.15,6-303.11,2-304.11,4-904.13,480.3,451.405,4-501.12,3-301.11,5-501.15,8,2-102.11,480.2,4-202.15,4-501.13,2013,4-101.111,7-201.11,2018,2016,3-101.11,3.302.11,6-501.15,5-502.11,6-201.17,480.55,3-304.15,4-501.16,4-501.18,7-3.,480.000.,4-301.12,5-204.11,2-103.11,4-501.14,4-601.12,6-304.11,451.218,4-402.12,6-202.12,4-501.17,90.6,480.1.1,4-702.11,3-13.,450.35,1.1,450.353,3-306.11,451.35.1,5,.480.500,451.13,590,500,451,205,480,451.2,4,451.32,451.35,451.11,451.36,3-501.17,451.33,451.34,480.5,451.14,3-501.11,451.37
37,31,71 repeat violations,12/7/2018 17:01,214,415-18-franklin-greenfield-report-12-11-18.docx,Franklin_County_Jail_and_House_of_Correction_Greenfield__December_4_2018,17,5,4,2,2,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,117,228 repeat violations,10/31/2017 17:20,1049,451-17-suffolk-boston-hoc-report-11-1-17.docx,Suffolk_County_HOC_10317,159,19,17,9,51,,1,1,,10,1,1,,1,1,22,15,14,11,9,8,6,4,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,21,21 repeat violations,12/11/2018 16:46,373,451-18-barnstable-bourne-report-12-12-18.docx,Barnstable_County_Correctional_Facility_Bourne__November_28_2018,10,4,3,,1,2,1,1,,3,1,1,,1,,11,,3,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,21,20 repeat violations,5/25/2018 14:09,306,451-18-barnstable-bourne-report-5-25-18.docx,Barnstable_County_Correctional_Facility_Bourne__April_20_2018,12,4,2,2,2,,1,1,,1,1,1,,1,,11,,1,,,1,,1,,,1,,2,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,31,68 repeat violations,11/14/2018 15:57,199,451-18-berkshire-pittsfield-report-11-20-18.docx,Berkshire_County_Jail_and_House_of_Correction_Pittsfield__November_10_2018,9,3,1,,2,1,1,1,,1,1,,,1,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,35,73 repeat violations,4/17/2018 14:04,237,451-18-berkshire-pittsfield-report-4-19-18.docx,Berkshire_County_Jail_and_House_of_Correction_Pittsfield__April_13_2018,2,5,3,,,,1,1,,1,1,,,1,,,4,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,37,75 repeat violations,6/28/2017 12:04,140,451-18-boston-pre-release-report-1-19-18.docx,Boston_Pre_Release_Center__January_8_2018,13,5,3,,6,,1,1,1,,1,,,1,,2,,,,,1,1,,,,1,,2,,,,,1,,,,,1,,,,1,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,36,72 repeat violations,6/28/2017 12:04,128,451-18-boston-pre-release-report-5-30-18.docx,Boston_Pre_Release_Center__May_25_2018,20,3,1,,2,,1,1,1,,1,1,,1,,2,,1,,,2,,,,,1,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,8 repeat violations,5/8/2017 15:43,,451-18-bridgewater-kitchen-core-services-report-12-26-18.docx,Old_Colony_Correctional_Center_Kitchen_Core_Services__December_13_2018,,1,,,,2,1,1,,,1,2,,1,,,,,,,,2,,,,6,,,,,,1,,,,,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,8 repeat violations,5/8/2017 15:43,,451-18-bridgewater-kitchen-core-services-report-5-21-18.docx,Old_Colony_Correctional_Center_Kitchen_Core_Services__May_17_2018,,2,,1,,,1,1,,,1,1,,1,,,,,,,,1,,,,6,,2,,,,1,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
